iter,ns,epot,ekin,etot,T,t
600,0.0006,-2494.059326171875,318.36859130859375,-2175.6907348632812,155.24259973221058,12.683924198150635
610,0.00061,-2488.90625,314.10650634765625,-2174.7997436523438,153.16432578283676,12.885008573532104
620,0.00062,-2495.241455078125,320.8857421875,-2174.355712890625,156.47001052909053,13.108168125152588
630,0.00063,-2493.335693359375,317.99127197265625,-2175.3444213867188,155.05861162459166,13.304322242736816
640,0.0006399999999999999,-2496.004150390625,320.8774719238281,-2175.126678466797,156.4659777907239,13.509319067001343
650,0.00065,-2491.333984375,317.5572509765625,-2173.7767333984375,154.84697470558842,13.713231801986694
660,0.0006599999999999999,-2490.75146484375,317.9063415527344,-2172.8451232910156,155.0171979313287,13.92659330368042
670,0.00067,-2484.42333984375,311.6485290527344,-2172.7748107910156,151.96576915456512,14.14156198501587
680,0.00068,-2488.476806640625,315.2800598144531,-2173.196746826172,153.7365728451536,14.382877349853516
690,0.00069,-2493.1455078125,319.133056640625,-2174.012451171875,155.61536761443753,14.576989650726318
700,0.0006999999999999999,-2486.71484375,314.302734375,-2172.412109375,153.26001031308502,14.782368183135986
710,0.0007099999999999999,-2495.105712890625,322.559814453125,-2172.5458984375,157.28632010783068,15.005085945129395
720,0.00072,-2497.50732421875,324.4871520996094,-2173.0201721191406,158.22612671869067,15.218079805374146
730,0.00073,-2477.2900390625,306.92950439453125,-2170.3605346679688,149.6646826901979,15.434966087341309
740,0.00074,-2488.0400390625,317.55548095703125,-2170.4845581054688,154.84611161029224,15.639469146728516
750,0.0007499999999999999,-2484.995849609375,313.76995849609375,-2171.2258911132812,153.0002186289366,15.841484308242798
760,0.0007599999999999999,-2480.015869140625,307.66802978515625,-2172.3478393554688,150.0248017620499,16.038771390914917
770,0.0007700000000000001,-2491.215087890625,318.7105712890625,-2172.5045166015625,155.4093556958128,16.246763944625854
780,0.00078,-2489.8466796875,319.4041748046875,-2170.4425048828125,155.747570004286,16.440237283706665
790,0.0007899999999999999,-2476.755859375,308.3270263671875,-2168.4288330078125,150.34614106938756,16.62875986099243
800,0.0007999999999999999,-2494.985107421875,327.0206604003906,-2167.9644470214844,159.46151370658353,16.831969022750854
810,0.00081,-2493.76953125,326.33941650390625,-2167.4301147460938,159.12932618423014,17.01735520362854
820,0.00082,-2475.225830078125,309.67791748046875,-2165.5479125976562,151.004861351809,17.20985770225525
830,0.00083,-2480.817626953125,318.0234375,-2162.794189453125,155.07429614945661,17.419174909591675
840,0.0008399999999999999,-2485.732666015625,323.43145751953125,-2162.3012084960938,157.71134989833632,17.61871647834778
850,0.00085,-2488.89892578125,325.1881408691406,-2163.7107849121094,158.5679422178824,17.808867692947388
860,0.0008599999999999999,-2481.516357421875,319.11962890625,-2162.396728515625,155.6088199949493,18.001375198364258
870,0.00087,-2481.0361328125,319.2864685058594,-2161.7496643066406,155.69017416709042,18.187257528305054
880,0.0008799999999999999,-2487.95947265625,326.8013000488281,-2161.158172607422,159.35454941367146,18.373981952667236
890,0.00089,-2476.33154296875,314.49163818359375,-2161.8399047851562,153.35212341452154,18.581950187683105
900,0.0009,-2478.74658203125,316.955078125,-2161.79150390625,154.5533437334486,18.78841471672058
910,0.0009099999999999999,-2480.48974609375,320.5084533691406,-2159.9812927246094,156.286037302425,19.007731199264526
920,0.00092,-2487.098388671875,326.97857666015625,-2160.1198120117188,159.44099287186933,19.249372243881226
930,0.0009299999999999999,-2482.59814453125,322.0028991699219,-2160.595245361328,157.01475758955687,19.501241207122803
940,0.00094,-2484.6826171875,325.29656982421875,-2159.3860473632812,158.62081424524976,19.738364696502686
950,0.0009499999999999999,-2489.452392578125,330.75799560546875,-2158.6943969726562,161.2839096625485,19.982094764709473
960,0.00096,-2475.0947265625,318.07623291015625,-2157.0184936523438,155.10004019880802,20.195011138916016
970,0.0009699999999999999,-2485.2841796875,327.023193359375,-2158.260986328125,159.46274882571424,20.382763385772705
980,0.00098,-2489.71728515625,330.70928955078125,-2159.0079956054688,161.2601596609503,20.56699562072754
990,0.00099,-2482.196533203125,324.2586669921875,-2157.9378662109375,158.1147130207173,20.786457061767578
1000,0.001,-2488.728759765625,331.32122802734375,-2157.4075317382812,161.55855253817245,20.98873996734619
