iter,ns,epot,ekin,etot,T,t
10,9.999999999999999e-06,-2532.47216796875,315.9884033203125,-2216.4837646484375,154.08197465411047,0.2671208381652832
20,1.9999999999999998e-05,-2439.782470703125,242.4041748046875,-2197.3782958984375,118.20090081105032,0.44485020637512207
30,3e-05,-2568.647216796875,352.6239013671875,-2216.0233154296875,171.9461425228825,0.6446216106414795
40,3.9999999999999996e-05,-2582.6298828125,348.5892639160156,-2234.0406188964844,169.97877631906707,0.849381685256958
50,4.9999999999999996e-05,-2488.59814453125,272.4945983886719,-2216.103546142578,132.87356548887107,1.0597529411315918
60,6e-05,-2458.110595703125,260.24859619140625,-2197.8619995117188,126.90218115847667,1.2682149410247803
70,7e-05,-2517.83447265625,306.95867919921875,-2210.8757934570312,149.6789088816314,1.4860718250274658
80,7.999999999999999e-05,-2544.537109375,316.554443359375,-2227.982666015625,154.35798657744562,1.6767957210540771
90,9e-05,-2491.68505859375,278.973876953125,-2212.711181640625,136.0329853443301,1.8682401180267334
100,9.999999999999999e-05,-2437.595703125,243.1416015625,-2194.4541015625,118.56048416858053,2.066011428833008
110,0.00010999999999999999,-2488.0087890625,281.37371826171875,-2206.6350708007812,137.20319375640844,2.284461259841919
120,0.00012,-2541.575927734375,319.8390808105469,-2221.736846923828,155.95963847093734,2.484205484390259
130,0.00013,-2492.30078125,281.75482177734375,-2210.5459594726562,137.38902710224676,2.678375244140625
140,0.00014,-2447.38427734375,252.2513885498047,-2195.1328887939453,123.0025901222581,2.9071242809295654
150,0.00015,-2490.548828125,289.6361083984375,-2200.9127197265625,141.23209283704261,3.1097047328948975
160,0.00015999999999999999,-2515.86865234375,302.939697265625,-2212.928955078125,147.71917660690107,3.3405678272247314
170,0.00017,-2487.452392578125,280.8743896484375,-2206.5780029296875,136.95971159716703,3.5657472610473633
180,0.00018,-2460.960693359375,267.035400390625,-2193.92529296875,130.21155638116926,3.7944703102111816
190,0.00018999999999999998,-2482.36083984375,285.9617919921875,-2196.3990478515625,139.44042604981212,4.03325080871582
200,0.00019999999999999998,-2495.322509765625,287.6988525390625,-2207.6236572265625,140.28744991633337,4.277645587921143
210,0.00020999999999999998,-2506.085205078125,300.27294921875,-2205.812255859375,146.41881937654105,4.529122829437256
220,0.00021999999999999998,-2482.686767578125,287.46728515625,-2195.219482421875,140.17453324206838,4.800017833709717
230,0.00023,-2493.12158203125,298.5147705078125,-2194.6068115234375,145.5614978902792,5.054977178573608
240,0.00024,-2512.4462890625,308.72528076171875,-2203.7210083007812,150.54033751102673,5.300938367843628
250,0.00025,-2519.702880859375,316.632080078125,-2203.07080078125,154.3958437228502,5.547322750091553
260,0.00026,-2496.752197265625,301.2318115234375,-2195.5203857421875,146.8863789318133,5.7505433559417725
270,0.00027,-2490.16845703125,296.70037841796875,-2193.4680786132812,144.67676568788718,5.942956447601318
280,0.00028,-2503.208251953125,303.8120422363281,-2199.396209716797,148.1445486593345,6.141059875488281
290,0.00029,-2499.767333984375,298.5340576171875,-2201.2332763671875,145.57090265281684,6.332302808761597
300,0.0003,-2499.837646484375,304.3984680175781,-2195.439178466797,148.430501059529,6.538006067276001
310,0.00031,-2482.5966796875,289.84991455078125,-2192.7467651367188,141.3363487964391,6.739152908325195
320,0.00031999999999999997,-2490.748046875,295.48504638671875,-2195.2630004882812,144.08414660038994,6.9468605518341064
330,0.00032999999999999994,-2510.017822265625,310.98052978515625,-2199.0372924804688,151.64003996597967,7.143085241317749
340,0.00034,-2502.811279296875,308.8313903808594,-2193.9798889160156,150.59207858593703,7.343299388885498
350,0.00034999999999999994,-2489.68115234375,298.8595275878906,-2190.8216247558594,145.7296080206392,7.543560028076172
360,0.00036,-2485.535888671875,293.4267272949219,-2192.109161376953,143.0804709376131,7.779389142990112
370,0.00037,-2500.837158203125,305.5570068359375,-2195.2801513671875,148.99542669278176,8.00738787651062
380,0.00037999999999999997,-2510.662109375,318.7769775390625,-2191.8851318359375,155.4417366503727,8.19854211807251
390,0.00039,-2483.9248046875,295.12274169921875,-2188.8020629882812,143.90747992183512,8.39646863937378
400,0.00039999999999999996,-2486.4130859375,297.92047119140625,-2188.4926147460938,145.27170620411206,8.585405111312866
410,0.00041,-2500.873779296875,309.0775451660156,-2191.7962341308594,150.7121083559188,8.783602476119995
420,0.00041999999999999996,-2498.598876953125,309.55694580078125,-2189.0419311523438,150.94587325260153,8.97507381439209
430,0.00042999999999999994,-2496.747802734375,310.48974609375,-2186.258056640625,151.4007244736853,9.199173927307129
440,0.00043999999999999996,-2496.773193359375,310.737060546875,-2186.0361328125,151.5213197198956,9.394986391067505
450,0.00045,-2491.970947265625,306.260498046875,-2185.71044921875,149.33846243015086,9.587225198745728
460,0.00046,-2486.879638671875,300.4918212890625,-2186.3878173828125,146.525545574199,9.777024745941162
470,0.00047,-2492.367431640625,307.35693359375,-2185.010498046875,149.87310532327058,9.974064826965332
480,0.00048,-2497.56201171875,313.55291748046875,-2184.0090942382812,152.8943852884816,10.187775611877441
490,0.00049,-2483.63818359375,301.0190734863281,-2182.619110107422,146.7826438057852,10.43268895149231
500,0.0005,-2486.494384765625,303.7379150390625,-2182.7564697265625,148.10840282356887,10.655851602554321
510,0.00051,-2508.343017578125,325.4237976074219,-2182.919219970703,158.6828529399006,10.84857702255249
520,0.00052,-2493.16796875,312.53619384765625,-2180.6317749023438,152.39861144559646,11.072418212890625
530,0.00053,-2478.5,299.26849365234375,-2179.2315063476562,145.92902767691558,11.266375064849854
540,0.00054,-2482.279541015625,302.8597717285156,-2179.4197692871094,147.6802033899928,11.47758674621582
550,0.0005499999999999999,-2495.7783203125,314.003662109375,-2181.774658203125,153.11417696993837,11.686212539672852
560,0.00056,-2484.82861328125,306.08612060546875,-2178.7424926757812,149.25343266252432,11.87983512878418
570,0.00057,-2478.589111328125,301.8331298828125,-2176.7559814453125,147.17959323725842,12.088260889053345
580,0.00058,-2492.503173828125,317.00433349609375,-2175.4988403320312,154.57736159220767,12.285574674606323
590,0.00059,-2494.86669921875,318.7922058105469,-2176.074493408203,155.44916224611046,12.47980260848999
